,createdAt,merchant,category,amount
9785,2020-01-25 11:24:32,Best Buy,Electronics,119.52
8103,2020-01-25 14:48:31,Apple Store,Shopping,98.65
4292,2020-01-26 07:28:47,Uber,Travel,313.15
6605,2020-01-26 14:32:47,Amazon,Travel,351.65
330,2020-01-26 17:25:17,Starbucks,Dining,291.34
856,2020-01-26 20:33:14,Spotify,Entertainment,106.98
2044,2020-01-26 21:07:28,Uber,Transportation,117.47
3714,2020-01-26 21:45:07,Starbucks,Health,212.49
3657,2020-01-26 22:55:05,Amazon,Shopping,192.32
5142,2020-01-26 23:25:25,Starbucks,Health,40.47
8921,2020-01-26 23:53:47,Best Buy,Shopping,276.78
3400,2020-01-27 04:08:43,Best Buy,Electronics,436.31
7017,2020-01-27 11:27:09,Apple Store,Electronics,67.19
7616,2020-01-27 16:55:54,Apple Store,Shopping,486.43
9912,2020-01-27 17:53:02,Target,Health,90.4
7324,2020-01-27 19:55:47,Walmart,Utilities,294.41
410,2020-01-28 08:07:59,Walmart,Shopping,413.41
5363,2020-01-28 13:05:36,Walmart,Utilities,98.94
5269,2020-01-28 17:18:24,Airbnb,Travel,103.27
3598,2020-01-28 22:51:44,Amazon,Shopping,425.19
8948,2020-01-29 01:38:47,Target,Shopping,209.71
1761,2020-01-29 02:02:11,Apple Store,Shopping,410.47
7722,2020-01-29 02:12:17,Best Buy,Electronics,425.15
149,2020-01-29 10:42:20,Netflix,Entertainment,420.15
2007,2020-01-29 11:06:25,Amazon,Entertainment,188.14
9353,2020-01-29 11:09:50,Target,Shopping,115.43
3591,2020-01-29 13:39:56,Walmart,Groceries,324.9
8590,2020-01-30 03:14:18,Target,Health,254.66
7619,2020-01-30 08:32:42,Airbnb,Travel,288.76
9570,2020-01-30 12:59:12,Spotify,Entertainment,225.53
9223,2020-01-30 14:05:29,Amazon,Shopping,415.85
9502,2020-01-30 16:33:32,Spotify,Entertainment,174.65
1020,2020-01-30 19:11:14,Airbnb,Travel,117.21
8840,2020-01-31 00:31:10,Starbucks,Health,417.09
8713,2020-01-31 00:45:42,Walmart,Groceries,432.29
1318,2020-01-31 00:59:04,Uber,Travel,144.03
7281,2020-01-31 10:54:03,Best Buy,Shopping,328.15
8929,2020-01-31 10:57:47,Target,Health,466.6
7556,2020-01-31 16:28:17,Target,Shopping,346.68
2303,2020-02-01 01:10:21,Walmart,Utilities,291.02
6585,2020-02-01 04:45:14,Netflix,Entertainment,13.07
940,2020-02-01 08:48:38,Walmart,Shopping,151.47
7895,2020-02-01 12:33:51,Target,Health,227.67
8287,2020-02-01 15:27:23,Walmart,Groceries,493.05
145,2020-02-02 00:48:54,Apple Store,Electronics,367.77
9451,2020-02-02 01:18:22,Apple Store,Electronics,240.66
2603,2020-02-02 05:38:48,Starbucks,Dining,307.07
8165,2020-02-02 08:57:32,Uber,Transportation,494.7
3614,2020-02-02 16:11:45,Walmart,Shopping,329.94
1593,2020-02-03 07:32:43,Target,Shopping,338.01
8864,2020-02-03 11:02:51,Netflix,Entertainment,183.12
7337,2020-02-03 16:57:45,Apple Store,Electronics,11.52
7589,2020-02-04 02:41:42,Netflix,Entertainment,412.15
1024,2020-02-04 13:05:44,Spotify,Entertainment,47.85
295,2020-02-04 14:51:15,Target,Health,224.93
1259,2020-02-04 15:58:52,Apple Store,Electronics,382.49
6549,2020-02-04 20:47:37,Amazon,Travel,430.17
886,2020-02-04 22:56:30,Starbucks,Health,287.2
4159,2020-02-04 23:57:38,Uber,Transportation,402.91
2081,2020-02-05 00:58:38,Target,Shopping,427.02
1118,2020-02-05 21:54:57,Uber,Travel,220.15
4262,2020-02-06 02:05:16,Netflix,Entertainment,159.49
4635,2020-02-06 04:55:11,Walmart,Shopping,464.55
7080,2020-02-06 06:29:39,Uber,Transportation,66.85
9772,2020-02-06 11:29:13,Target,Groceries,221.22
8285,2020-02-06 12:06:35,Uber,Travel,223.18
1777,2020-02-06 21:32:37,Airbnb,Travel,206.74
8055,2020-02-06 23:51:22,Spotify,Entertainment,221.71
7072,2020-02-07 00:12:07,Uber,Travel,133.84
1457,2020-02-07 14:18:33,Amazon,Shopping,132.24
4104,2020-02-07 15:20:19,Target,Health,91.68
6577,2020-02-07 19:54:13,Apple Store,Electronics,360.8
102,2020-02-07 21:02:32,Target,Health,452.69
3148,2020-02-08 10:12:30,Starbucks,Health,137.01
5449,2020-02-08 12:20:17,Netflix,Entertainment,110.09
1105,2020-02-08 12:44:07,Target,Shopping,424.46
4022,2020-02-08 19:29:13,Amazon,Travel,317.12
6243,2020-02-08 21:29:41,Spotify,Entertainment,32.37
5834,2020-02-08 22:42:29,Target,Shopping,367.52
9863,2020-02-09 00:34:08,Uber,Transportation,201.95
9942,2020-02-09 01:08:51,Uber,Travel,33.3
7684,2020-02-10 04:16:18,Best Buy,Shopping,344.8
1125,2020-02-10 05:00:22,Apple Store,Shopping,482.28
7264,2020-02-10 08:20:02,Amazon,Entertainment,175.33
4191,2020-02-10 09:15:19,Spotify,Entertainment,389.69
4121,2020-02-10 11:01:41,Netflix,Entertainment,250.94
5766,2020-02-10 16:09:53,Target,Health,157.46
2510,2020-02-10 22:30:56,Apple Store,Shopping,133.47
3072,2020-02-11 03:08:48,Spotify,Entertainment,24.95
9260,2020-02-11 09:36:39,Amazon,Travel,9.08
2316,2020-02-11 10:29:40,Best Buy,Shopping,374.68
5057,2020-02-11 11:45:35,Best Buy,Shopping,84.75
3011,2020-02-11 16:50:57,Walmart,Groceries,222.15
4518,2020-02-11 20:33:07,Starbucks,Health,444.94
6985,2020-02-11 20:45:11,Amazon,Travel,334.74
7600,2020-02-11 22:22:36,Amazon,Shopping,162.59
9279,2020-02-11 22:41:45,Apple Store,Electronics,410.79
5070,2020-02-12 08:05:32,Starbucks,Dining,154.38
7425,2020-02-12 12:31:30,Spotify,Entertainment,313.29
9255,2020-02-12 16:54:49,Airbnb,Travel,383.36
7003,2020-02-13 06:14:33,Best Buy,Shopping,249.56
3170,2020-02-13 07:36:03,Spotify,Entertainment,18.16
6318,2020-02-13 14:09:19,Spotify,Entertainment,300.7
4389,2020-02-13 15:20:02,Spotify,Entertainment,386.38
7573,2020-02-13 20:41:55,Airbnb,Travel,442.96
9320,2020-02-14 15:26:32,Best Buy,Shopping,119.83
2896,2020-02-15 08:13:42,Uber,Travel,48.82
2450,2020-02-15 21:01:29,Best Buy,Shopping,370.15
2871,2020-02-15 21:33:02,Apple Store,Electronics,55.59
3835,2020-02-16 04:41:16,Netflix,Entertainment,209.31
3667,2020-02-16 09:33:47,Target,Health,232.41
1169,2020-02-16 12:48:43,Best Buy,Electronics,42.24
8964,2020-02-16 14:17:29,Walmart,Utilities,235.25
6612,2020-02-16 16:07:40,Starbucks,Health,398.95
1771,2020-02-16 18:11:01,Uber,Transportation,239.19
8762,2020-02-16 20:45:18,Airbnb,Travel,216.19
7077,2020-02-17 00:52:51,Uber,Transportation,278.47
5010,2020-02-17 05:51:00,Spotify,Entertainment,210.77
6728,2020-02-17 17:52:22,Walmart,Groceries,138.07
2986,2020-02-17 19:47:21,Walmart,Utilities,456.43
3442,2020-02-17 20:23:49,Uber,Travel,40.32
6927,2020-02-18 07:45:50,Best Buy,Shopping,343.16
6116,2020-02-18 09:31:46,Airbnb,Travel,409.84
7130,2020-02-18 11:56:22,Uber,Transportation,427.8
1664,2020-02-18 12:04:59,Walmart,Shopping,177.08
963,2020-02-18 13:49:27,Uber,Travel,126.59
244,2020-02-18 16:10:34,Best Buy,Electronics,414.5
7892,2020-02-18 20:51:40,Apple Store,Electronics,251.25
6694,2020-02-18 21:21:03,Airbnb,Travel,353.5
3653,2020-02-18 23:51:06,Apple Store,Electronics,47.82
1959,2020-02-19 02:19:11,Walmart,Groceries,15.33
3063,2020-02-19 04:35:31,Walmart,Utilities,194.13
5602,2020-02-19 05:28:53,Netflix,Entertainment,400.76
3747,2020-02-19 07:15:35,Airbnb,Travel,208.41
1075,2020-02-19 14:52:07,Walmart,Groceries,386.54
9224,2020-02-19 16:00:26,Amazon,Entertainment,286.61
6190,2020-02-19 18:38:18,Walmart,Shopping,378.26
2762,2020-02-19 23:25:53,Target,Health,454.35
4585,2020-02-20 00:57:28,Airbnb,Travel,82.91
4568,2020-02-20 04:53:40,Walmart,Groceries,201.29
2528,2020-02-20 06:38:00,Uber,Transportation,243.81
5016,2020-02-20 11:15:57,Apple Store,Electronics,214.96
3846,2020-02-20 13:39:41,Starbucks,Dining,271.66
8876,2020-02-21 05:42:32,Uber,Transportation,178.53
320,2020-02-21 10:26:04,Airbnb,Travel,289.44
6663,2020-02-21 19:16:48,Spotify,Entertainment,472.35
8615,2020-02-22 01:10:19,Apple Store,Shopping,475.52
2295,2020-02-22 20:44:19,Walmart,Utilities,420.09
7775,2020-02-22 21:04:21,Uber,Travel,429.54
5062,2020-02-23 02:02:05,Amazon,Shopping,9.09
3765,2020-02-23 13:18:59,Apple Store,Electronics,279.86
4506,2020-02-23 21:45:44,Uber,Travel,10.98
6539,2020-02-24 15:29:19,Starbucks,Dining,217.32
1728,2020-02-24 19:52:22,Walmart,Groceries,396.97
2739,2020-02-24 22:48:29,Amazon,Shopping,448.71
1717,2020-02-25 00:46:28,Target,Shopping,219.32
1475,2020-02-25 12:56:19,Best Buy,Shopping,451.58
2578,2020-02-25 17:39:56,Starbucks,Dining,365.75
1531,2020-02-25 19:25:20,Netflix,Entertainment,235.37
4694,2020-02-26 00:37:25,Uber,Transportation,350.25
637,2020-02-26 03:30:10,Spotify,Entertainment,457.37
2918,2020-02-26 05:37:20,Amazon,Travel,334.12
3783,2020-02-26 07:05:58,Spotify,Entertainment,275.78
3795,2020-02-26 07:20:31,Uber,Travel,392.56
3773,2020-02-26 10:49:20,Uber,Transportation,345.47
8369,2020-02-26 14:52:31,Starbucks,Dining,114.42
444,2020-02-26 21:33:21,Spotify,Entertainment,46.08
5361,2020-02-27 03:37:33,Amazon,Travel,418.23
9436,2020-02-27 03:55:32,Netflix,Entertainment,87.68
6442,2020-02-27 04:56:36,Amazon,Entertainment,489.59
7918,2020-02-27 05:23:48,Netflix,Entertainment,205.53
1034,2020-02-27 11:13:37,Uber,Transportation,174.4
944,2020-02-27 15:14:04,Amazon,Shopping,138.22
677,2020-02-27 19:00:21,Target,Groceries,123.79
7113,2020-02-28 00:34:01,Target,Health,142.47
5503,2020-02-28 01:36:34,Walmart,Shopping,432.56
2958,2020-02-28 03:56:54,Uber,Travel,428.72
1347,2020-02-28 06:55:06,Spotify,Entertainment,136.42
1303,2020-02-28 07:48:46,Netflix,Entertainment,212.16
4592,2020-02-28 18:42:41,Walmart,Shopping,218.74
1015,2020-02-29 07:35:42,Starbucks,Dining,31.88
8133,2020-02-29 10:33:40,Walmart,Utilities,189.08
4677,2020-02-29 13:55:46,Uber,Transportation,447.74
6547,2020-02-29 21:00:16,Amazon,Travel,241.4
7811,2020-02-29 22:44:49,Target,Shopping,391.06
7566,2020-03-01 15:16:22,Uber,Travel,252.22
1032,2020-03-02 07:57:27,Best Buy,Electronics,6.33
3927,2020-03-02 09:25:30,Amazon,Travel,164.01
5165,2020-03-03 05:33:04,Best Buy,Electronics,309.52
7632,2020-03-03 11:27:37,Apple Store,Electronics,240.25
7236,2020-03-03 15:32:21,Apple Store,Shopping,102.8
4666,2020-03-03 20:14:18,Best Buy,Electronics,77.96
4185,2020-03-03 23:06:16,Walmart,Groceries,315.42
8650,2020-03-04 07:20:23,Target,Health,116.01
1689,2020-03-04 13:27:58,Best Buy,Electronics,11.0
1530,2020-03-04 13:38:44,Best Buy,Electronics,295.99
2190,2020-03-04 15:01:17,Amazon,Shopping,317.42
6136,2020-03-04 16:31:51,Target,Groceries,440.72
844,2020-03-05 03:33:32,Walmart,Shopping,228.0
718,2020-03-05 05:30:29,Airbnb,Travel,333.08
4703,2020-03-05 12:22:13,Starbucks,Health,19.1
9102,2020-03-05 18:43:19,Netflix,Entertainment,244.26
759,2020-03-05 22:53:28,Target,Groceries,295.24
8818,2020-03-06 02:27:21,Spotify,Entertainment,451.17
7349,2020-03-06 06:46:54,Uber,Transportation,331.7
378,2020-03-06 09:05:05,Amazon,Travel,118.41
9630,2020-03-06 10:48:05,Target,Health,34.75
8988,2020-03-06 13:21:59,Apple Store,Electronics,144.25
1917,2020-03-06 19:31:23,Uber,Transportation,5.62
854,2020-03-06 21:31:05,Amazon,Travel,194.49
7022,2020-03-06 22:31:09,Uber,Transportation,452.46
4125,2020-03-07 08:06:00,Amazon,Travel,126.79
6870,2020-03-07 11:31:07,Best Buy,Shopping,280.08
1031,2020-03-07 13:12:48,Walmart,Shopping,78.84
7286,2020-03-07 21:08:05,Uber,Transportation,376.14
7813,2020-03-07 22:06:54,Airbnb,Travel,399.7
85,2020-03-08 18:51:16,Airbnb,Travel,244.64
5408,2020-03-09 00:36:12,Target,Health,14.86
5101,2020-03-09 01:08:57,Walmart,Utilities,431.92
5523,2020-03-09 06:03:37,Best Buy,Electronics,432.66
4360,2020-03-09 10:49:35,Best Buy,Electronics,229.64
2178,2020-03-09 17:59:08,Starbucks,Dining,184.78
5237,2020-03-10 00:12:39,Spotify,Entertainment,117.24
4417,2020-03-10 00:18:49,Airbnb,Travel,340.05
5749,2020-03-10 04:45:26,Spotify,Entertainment,118.1
4149,2020-03-10 09:00:59,Best Buy,Electronics,100.45
9761,2020-03-10 10:12:02,Spotify,Entertainment,271.56
868,2020-03-10 10:27:51,Target,Health,371.02
2585,2020-03-10 11:52:55,Walmart,Shopping,392.43
4824,2020-03-10 14:22:11,Starbucks,Health,225.53
9213,2020-03-10 20:56:15,Walmart,Groceries,44.58
3423,2020-03-10 23:55:13,Apple Store,Shopping,425.81
9230,2020-03-11 01:40:46,Amazon,Travel,318.11
5261,2020-03-11 06:44:03,Apple Store,Shopping,387.08
4068,2020-03-11 07:15:02,Best Buy,Shopping,153.47
2550,2020-03-11 07:47:50,Walmart,Shopping,295.1
7701,2020-03-11 11:05:33,Best Buy,Electronics,114.06
4339,2020-03-11 13:35:17,Starbucks,Health,33.77
2914,2020-03-12 07:31:32,Walmart,Shopping,221.6
25,2020-03-12 10:20:53,Walmart,Groceries,257.75
4830,2020-03-12 10:42:05,Airbnb,Travel,333.07
2281,2020-03-12 14:46:54,Best Buy,Shopping,93.31
7729,2020-03-12 14:52:42,Airbnb,Travel,230.13
3655,2020-03-13 02:00:18,Amazon,Shopping,185.39
5828,2020-03-13 02:51:03,Best Buy,Electronics,294.6
287,2020-03-13 03:11:09,Netflix,Entertainment,492.11
8628,2020-03-13 09:07:49,Apple Store,Shopping,86.88
7577,2020-03-14 00:52:30,Target,Health,252.88
8598,2020-03-14 07:01:43,Best Buy,Shopping,175.21
4153,2020-03-14 21:40:39,Walmart,Utilities,92.89
5152,2020-03-15 05:07:15,Uber,Transportation,85.78
9604,2020-03-15 08:03:39,Airbnb,Travel,459.17
4160,2020-03-15 14:21:31,Spotify,Entertainment,166.55
1158,2020-03-15 16:48:01,Starbucks,Health,462.06
1782,2020-03-15 18:31:14,Amazon,Travel,343.15
6347,2020-03-15 22:37:22,Starbucks,Dining,106.95
5251,2020-03-16 02:27:49,Best Buy,Shopping,5.97
3298,2020-03-16 08:17:07,Starbucks,Health,263.44
5984,2020-03-16 10:34:46,Best Buy,Electronics,496.41
1215,2020-03-16 10:42:44,Amazon,Entertainment,147.93
4629,2020-03-16 17:12:21,Netflix,Entertainment,124.11
2231,2020-03-16 22:18:01,Apple Store,Electronics,225.9
4788,2020-03-17 04:11:19,Airbnb,Travel,371.68
8088,2020-03-17 07:48:45,Apple Store,Electronics,227.54
9560,2020-03-17 11:13:48,Starbucks,Dining,185.03
4837,2020-03-17 12:11:51,Walmart,Utilities,493.32
6814,2020-03-17 14:08:23,Target,Shopping,495.29
3262,2020-03-17 16:05:40,Netflix,Entertainment,160.11
9838,2020-03-18 09:47:32,Best Buy,Electronics,260.51
9669,2020-03-18 14:47:06,Spotify,Entertainment,365.82
5673,2020-03-18 16:13:18,Apple Store,Electronics,474.87
9654,2020-03-18 18:44:26,Amazon,Entertainment,499.16
5258,2020-03-19 01:59:29,Best Buy,Shopping,412.09
3902,2020-03-19 07:05:14,Walmart,Groceries,85.37
8202,2020-03-19 22:42:53,Target,Shopping,266.04
6424,2020-03-19 23:15:04,Target,Health,204.71
5718,2020-03-20 01:06:54,Apple Store,Electronics,24.35
1480,2020-03-20 05:24:43,Spotify,Entertainment,224.0
4300,2020-03-20 08:10:52,Target,Shopping,499.85
7581,2020-03-20 09:20:08,Netflix,Entertainment,462.04
7930,2020-03-20 14:08:24,Walmart,Utilities,433.97
9003,2020-03-20 15:18:01,Target,Shopping,489.21
4756,2020-03-20 16:00:10,Target,Groceries,73.48
5538,2020-03-20 20:15:08,Uber,Transportation,426.13
4554,2020-03-21 07:27:22,Airbnb,Travel,299.35
1536,2020-03-21 14:09:10,Starbucks,Dining,279.37
1393,2020-03-21 15:09:22,Target,Shopping,344.48
4750,2020-03-21 17:36:34,Spotify,Entertainment,465.98
8186,2020-03-22 08:51:53,Walmart,Groceries,178.39
8724,2020-03-22 10:13:41,Walmart,Shopping,305.42
3434,2020-03-22 22:29:07,Uber,Travel,420.7
6027,2020-03-22 23:12:30,Spotify,Entertainment,30.69
1724,2020-03-22 23:34:25,Netflix,Entertainment,66.79
8148,2020-03-23 11:15:18,Netflix,Entertainment,496.0
9572,2020-03-23 12:04:12,Airbnb,Travel,71.77
1110,2020-03-23 13:01:20,Best Buy,Electronics,286.19
723,2020-03-23 16:05:37,Best Buy,Shopping,438.4
9944,2020-03-23 16:38:41,Spotify,Entertainment,431.0
2489,2020-03-23 17:17:28,Apple Store,Electronics,226.42
8426,2020-03-23 19:05:30,Apple Store,Shopping,451.4
1755,2020-03-23 23:21:46,Airbnb,Travel,266.29
7313,2020-03-23 23:43:31,Apple Store,Electronics,417.67
9953,2020-03-24 13:54:44,Walmart,Shopping,57.09
6220,2020-03-24 18:09:08,Walmart,Groceries,459.91
9995,2020-03-24 20:32:48,Walmart,Groceries,402.27
1365,2020-03-24 20:51:27,Uber,Transportation,328.34
1719,2020-03-25 05:43:07,Apple Store,Electronics,8.81
5844,2020-03-25 10:51:55,Starbucks,Dining,190.51
8311,2020-03-25 10:58:22,Uber,Transportation,109.47
5477,2020-03-25 13:22:52,Netflix,Entertainment,470.84
